State Abbreviation,State Name,Backyard Flocks,Birds Affected,Color,Commercial Flocks,Last Reported Detection Text,Total Flocks,State Boundary,State Label Point,Latitude (generated),Longitude (generated)
AK,,,,,,,,,Point,26.39999987,-117.4999999
AK,Alaska,0,0,0,0,Last reported detection 11/26/2024.,0,MultiPolygon,,23.22049473,-118.4292401
AL,,,,,,,,,Point,32.75000003,-86.75000022
AL,Alabama,0,0,0,0,Last reported detection 12/19/2024.,0,MultiPolygon,,31.81874596,-87.1718069
AR,,,,,,,,,Point,34.75000026,-92.5000001
AR,Arkansas,0,"126,400",2,2,Last reported detection 1/24/2025.,2,Polygon,,34.8386584,-91.63014826
AZ,,,,,,,,,Point,34.49999986,-111.5000003
AZ,Arizona,1,"316,600",1,1,Last reported detection 2/5/2025.,2,Polygon,,34.36588791,-113.8200904
CA,,,,,,,,,Point,37.25000021,-119.75
CA,California,2,"367,010",5,5,Last reported detection 2/5/2025.,7,MultiPolygon,,35.99088288,-119.1231368
CO,,,,,,,,,Point,39.00000011,-105.5
CO,Colorado,3,230,0,0,Last reported detection 2/12/2025.,3,Polygon,,39.02717331,-104.7240487
CT,,,,,,,,,Point,41.6227001,-72.70280024
CT,Connecticut,3,70,0,0,Last reported detection 2/6/2025.,3,Polygon,,41.42536389,-72.83868741
DC,,,,,,,,,Point,38.90999991,-76.9999998
DC,District of Columbia,0,0,0,0,,0,Polygon,,38.88714788,-77.0349999
DE,,,,,,,,,Point,38.67160018,-75.41650024
DE,Delaware,0,"145,800",1,1,Last reported detection 1/28/2025.,1,MultiPolygon,,39.2508234,-75.51088091
FL,,,,,,,,,Point,28.4199998,-81.5500003
FL,Florida,4,"1,651",0,0,Last reported detection 1/30/2025.,4,MultiPolygon,,28.8291487,-83.29485522
GA,,,,,,,,,Point,32.1598002,-83.4715002
GA,Georgia,0,"175,900",2,2,Last reported detection 1/21/2025.,2,Polygon,,32.69456749,-82.54561217
HI,,,,,,,,,Point,25.78999978,-106.3400002
HI,Hawaii,0,0,0,0,Last reported detection 11/18/2024.,0,MultiPolygon,,25.79604333,-107.0356031
IA,,,,,,,,,Point,42.00000025,-93.49999995
IA,Iowa,0,0,0,0,Last reported detection 1/7/2025.,0,Polygon,,42.02109364,-93.80346037
ID,,,,,,,,,Point,44.07390002,-114.5419999
ID,Idaho,2,40,0,0,Last reported detection 1/30/2025.,2,Polygon,,45.30266079,-114.9957707
IL,,,,,,,,,Point,39.99999995,-89.25000017
IL,Illinois,1,500,0,0,Last reported detection 1/22/2025.,1,Polygon,,39.4859492,-89.55578449
IN,,,,,,,,,Point,39.99999995,-86.25000002
IN,Indiana,2,"3,964,060",5,5,Last reported detection 2/11/2025.,7,Polygon,,38.98264296,-86.59351018
KS,,,,,,,,,Point,38.49999991,-98.49999984
KS,Kansas,1,50,0,0,Last reported detection 2/4/2025.,1,Polygon,,38.78039552,-97.02830911
KY,,,,,,,,,Point,37.78999974,-84.87000024
